,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,TIME,E_STORED,E_DISSIPATED
37,83.2,0.00318912742133156,0.00318912742133156,-0.00454283171342222,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301427e-05,-0.00174169360046615,0.0,0.0,0.0,0.00656183434817174,2.0,1.0,0.00348403845904676,43.2,0.0,0.0
38,84.4,0.00332258685721735,0.00332258685721735,-0.00466179044373333,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301426e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00684050232207846,2.0,1.0,0.00363199860050723,44.4,0.0,0.0
39,85.6,0.00345604629310314,0.00345604629310314,-0.00478074917404444,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301426e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00711917029598517,2.0,1.0,0.0037799587419677,45.6,0.0,0.0
40,86.8,0.00358950572898893,0.00358950572898893,-0.00489970790435556,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00739783826989189,2.0,1.0,0.00392791888342816,46.8,0.0,0.0
41,88.0,0.00372296516487472,0.00372296516487472,-0.00501866663466667,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301427e-05,-0.00174169360046615,0.0,0.0,0.0,0.00767650624379861,2.0,1.0,0.00407587902488863,48.0,0.0,0.0
42,89.2,0.0038564246007605,0.0038564246007605,-0.00513762536497778,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301426e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00795517421770532,2.0,1.0,0.0042238391663491,49.2,0.0,0.0
43,90.4,0.00398988403664629,0.0039898840366463,-0.00525658409528889,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301427e-05,-0.00174169360046615,0.0,0.0,0.0,0.00823384219161204,2.0,1.0,0.00437179930780956,50.4,0.0,0.0
44,91.6,0.00412334347253208,0.00412334347253208,-0.0053755428256,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301428e-05,4.65391353301428e-05,-0.00174169360046615,0.0,0.0,0.0,0.00851251016551875,2.0,1.0,0.00451975944927003,51.6,0.0,0.0
45,92.8,0.00425680290841787,0.00425680290841787,-0.00549450155591111,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301426e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00879117813942547,2.0,1.0,0.00466771959073049,52.8,0.0,0.0
46,94.0,0.00439026234430366,0.00439026234430366,-0.00561346028622222,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301428e-05,4.65391353301427e-05,-0.00174169360046615,0.0,0.0,0.0,0.00906984611333218,2.0,1.0,0.00481567973219096,54.0,0.0,0.0
47,95.2,0.00452372178018945,0.00452372178018945,-0.00573241901653333,0.0,0.0,0.0,-4000000.0,-4000000.00000001,-17332385.6041954,0.0,0.0,0.0,4.6539135330143e-05,4.65391353301421e-05,-0.00174169360046615,0.0,0.0,0.0,0.0093485140872389,2.0,1.0,0.00496363987365143,55.2,0.0,0.0
48,96.4,0.00465718121607524,0.00465718121607524,-0.00585137774684444,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301426e-05,4.65391353301427e-05,-0.00174169360046615,0.0,0.0,0.0,0.00962718206114561,2.0,1.0,0.00511160001511189,56.4,0.0,0.0
49,97.6,0.00479064065196103,0.00479064065196103,-0.00597033647715555,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301425e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00990585003505233,2.0,1.0,0.00525956015657236,57.6,0.0,0.0
50,98.8,0.00492410008784681,0.00492410008784682,-0.00608929520746667,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.6539135330143e-05,4.65391353301423e-05,-0.00174169360046615,0.0,0.0,0.0,0.010184518008959,2.0,1.0,0.00540752029803283,58.8,0.0,0.0
51,100.0,0.0050575595237326,0.00505755952373261,-0.00620825393777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.6539135330143e-05,4.65391353301423e-05,-0.00174169360046615,0.0,0.0,0.0,0.0104631859828658,2.0,1.0,0.00555548043949329,60.0,0.0,0.0
52,101.2,0.00519101895961839,0.00519101895961839,-0.00632721266808889,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301429e-05,4.65391353301423e-05,-0.00174169360046615,0.0,0.0,0.0,0.0107418539567725,2.0,1.0,0.00570344058095376,61.2,0.0,0.0
53,102.4,0.00532447839550418,0.00532447839550418,-0.0064461713984,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301425e-05,4.65391353301429e-05,-0.00174169360046615,0.0,0.0,0.0,0.0110205219306792,2.0,1.0,0.00585140072241423,62.4,0.0,0.0
54,103.6,0.00545793783138997,0.00545793783138997,-0.00656513012871111,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301425e-05,4.65391353301428e-05,-0.00174169360046615,0.0,0.0,0.0,0.0112991899045859,2.0,1.0,0.00599936086387469,63.6,0.0,0.0
55,104.8,0.00559139726727576,0.00559139726727576,-0.00668408885902222,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301429e-05,4.65391353301423e-05,-0.00174169360046615,0.0,0.0,0.0,0.0115778578784926,2.0,1.0,0.00614732100533516,64.8,0.0,0.0
56,106.0,0.00572485670316155,0.00572485670316155,-0.00680304758933333,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301429e-05,4.65391353301424e-05,-0.00174169360046615,0.0,0.0,0.0,0.0118565258523993,2.0,1.0,0.00629528114679562,66.0,0.0,0.0
57,107.2,0.00585831613904734,0.00585831613904734,-0.00692200631964444,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301428e-05,4.65391353301424e-05,-0.00174169360046615,0.0,0.0,0.0,0.0121351938263061,2.0,1.0,0.00644324128825609,67.2,0.0,0.0
58,108.4,0.00599177557493312,0.00599177557493313,-0.00704096504995555,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301424e-05,-0.00174169360046615,0.0,0.0,0.0,0.0124138618002128,2.0,1.0,0.00659120142971656,68.4,0.0,0.0
59,109.6,0.00612523501081891,0.00612523501081892,-0.00715992378026667,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301423e-05,4.65391353301429e-05,-0.00174169360046615,0.0,0.0,0.0,0.0126925297741195,2.0,1.0,0.00673916157117702,69.6,0.0,0.0
60,110.8,0.0062586944467047,0.00625869444670471,-0.00727888251057778,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301428e-05,4.65391353301424e-05,-0.00174169360046615,0.0,0.0,0.0,0.0129711977480262,2.0,1.0,0.00688712171263749,70.8,0.0,0.0
61,112.0,0.00639215388259049,0.0063921538825905,-0.00739784124088889,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301424e-05,4.65391353301429e-05,-0.00174169360046615,0.0,0.0,0.0,0.0132498657219329,2.0,1.0,0.00703508185409796,72.0,0.0,0.0
62,113.2,0.00652561331847628,0.00652561331847629,-0.0075167999712,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301429e-05,4.65391353301425e-05,-0.00174169360046615,0.0,0.0,0.0,0.0135285336958396,2.0,1.0,0.00718304199555842,73.2,0.0,0.0
63,114.4,0.00665907275436207,0.00665907275436207,-0.00763575870151111,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301428e-05,4.65391353301425e-05,-0.00174169360046615,0.0,0.0,0.0,0.0138072016697464,2.0,1.0,0.00733100213701889,74.4,0.0,0.0
64,115.6,0.00679253219024786,0.00679253219024786,-0.00775471743182222,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301423e-05,4.65391353301429e-05,-0.00174169360046615,0.0,0.0,0.0,0.0140858696436531,2.0,1.0,0.00747896227847936,75.6,0.0,0.0
65,116.8,0.00692599162613365,0.00692599162613365,-0.00787367616213333,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301424e-05,4.65391353301429e-05,-0.00174169360046615,0.0,0.0,0.0,0.0143645376175598,2.0,1.0,0.00762692241993982,76.8,0.0,0.0
66,118.0,0.00705945106201944,0.00705945106201944,-0.00799263489244444,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301423e-05,4.65391353301428e-05,-0.00174169360046615,0.0,0.0,0.0,0.0146432055914665,2.0,1.0,0.00777488256140029,78.0,0.0,0.0
67,119.2,0.00719291049790523,0.00719291049790523,-0.00811159362275556,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301429e-05,4.65391353301424e-05,-0.00174169360046615,0.0,0.0,0.0,0.0149218735653732,2.0,1.0,0.00792284270286076,79.2,0.0,0.0
68,120.4,0.00732636993379101,0.00732636993379101,-0.00823055235306666,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301423e-05,4.65391353301428e-05,-0.00174169360046615,0.0,0.0,0.0,0.0152005415392799,2.0,1.0,0.00807080284432122,80.4,0.0,0.0
69,121.6,0.0074598293696768,0.0074598293696768,-0.00834951108337778,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301429e-05,4.65391353301424e-05,-0.00174169360046615,0.0,0.0,0.0,0.0154792095131866,2.0,1.0,0.00821876298578169,81.6,0.0,0.0
70,122.8,0.00759328880556259,0.00759328880556259,-0.00846846981368889,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301428e-05,4.65391353301424e-05,-0.00174169360046615,0.0,0.0,0.0,0.0157578774870934,2.0,1.0,0.00836672312724215,82.8,0.0,0.0
71,124.0,0.00772674824144838,0.00772674824144838,-0.008587428544,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301424e-05,4.65391353301429e-05,-0.00174169360046615,0.0,0.0,0.0,0.0160365454610001,2.0,1.0,0.00851468326870262,84.0,0.0,0.0
72,125.2,0.00786020767733417,0.00786020767733417,-0.00870638727431111,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301423e-05,-0.00174169360046615,0.0,0.0,0.0,0.0163152134349068,2.0,1.0,0.00866264341016309,85.2,0.0,0.0
73,126.4,0.00799366711321996,0.00799366711321996,-0.00882534600462222,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301428e-05,4.65391353301424e-05,-0.00174169360046615,0.0,0.0,0.0,0.0165938814088135,2.0,1.0,0.00881060355162355,86.4,0.0,0.0
74,127.6,0.00812712654910575,0.00812712654910575,-0.00894430473493333,0.0,0.0,0.0,-4000000.0,-3999999.99999999,-17332385.6041954,0.0,0.0,0.0,4.6539135330142e-05,4.65391353301434e-05,-0.00174169360046615,0.0,0.0,0.0,0.0168725493827202,2.0,1.0,0.00895856369308402,87.6,0.0,0.0
75,128.8,0.00826058598499154,0.00826058598499154,-0.00906326346524445,0.0,0.0,0.0,-4000000.00000001,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.6539135330142e-05,4.65391353301433e-05,-0.00174169360046615,0.0,0.0,0.0,0.0171512173566269,2.0,1.0,0.00910652383454449,88.8,0.0,0.0
76,130.0,0.00839404542087732,0.00839404542087732,-0.00918222219555555,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301421e-05,4.65391353301432e-05,-0.00174169360046615,0.0,0.0,0.0,0.0174298853305337,2.0,1.0,0.00925448397600495,90.0,0.0,0.0
77,131.2,0.00852750485676311,0.00852750485676311,-0.00930118092586667,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301422e-05,4.65391353301431e-05,-0.00174169360046615,0.0,0.0,0.0,0.0177085533044404,2.0,1.0,0.00940244411746542,91.2,0.0,0.0
78,132.4,0.0086609642926489,0.0086609642926489,-0.00942013965617777,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301424e-05,4.65391353301431e-05,-0.00174169360046615,0.0,0.0,0.0,0.0179872212783471,2.0,1.0,0.00955040425892588,92.4,0.0,0.0
79,133.6,0.00879442372853469,0.00879442372853469,-0.00953909838648889,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301423e-05,4.65391353301429e-05,-0.00174169360046615,0.0,0.0,0.0,0.0182658892522538,2.0,1.0,0.00969836440038635,93.6,0.0,0.0
80,134.8,0.00892788316442048,0.00892788316442048,-0.0096580571168,0.0,0.0,0.0,-3999999.99999999,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301433e-05,4.65391353301422e-05,-0.00174169360046615,0.0,0.0,0.0,0.0185445572261605,2.0,1.0,0.00984632454184682,94.8,0.0,0.0
81,136.0,0.00906134260030626,0.00906134260030627,-0.00977701584711111,0.0,0.0,0.0,-4000000.00000001,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301422e-05,4.65391353301429e-05,-0.00174169360046615,0.0,0.0,0.0,0.0188232252000672,2.0,1.0,0.00999428468330728,96.0,0.0,0.0
